ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_TIENEETNIA;ESTU_PAIS_RESIDE;ESTU_ETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_ESTABLECIMIENTO;ESTU_ESTADOINVESTIGACION;ESTU_GENERACION-E
TI;COLOMBIA;F;25/05/2003;20194;SB11201940171999;ESTUDIANTE;No;COLOMBIA;NA;ATLANTICO;8;MALAMBO;8433;Estrato 1;5 a 6;Tres;Primaria incompleta;Secundaria (Bachillerato) completa;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Si;Si;Si;Si;No;No;No;No;11 A 25 LIBROS;3 a 5 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Mejor;No leo por entretenimiento;Más de 3 horas;0;No;102228;3,08433E+11;COLEGIO FRANCISCO DE QUEVEDO;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3,08433E+11;COLEGIO FRANCISCO DE QUEVEDO;S;URBANO;MAÑANA;8433;MALAMBO;8;ATLANTICO;N;8433;MALAMBO;ATLANTICO;8;66;90;4;58;73;3;46;44;2;46;53;2;50;58;A1;268;67;506.494.544.412.058;2;3;PUBLICAR;NO
TI;COLOMBIA;F;23/07/2002;20194;SB11201940477101;ESTUDIANTE;No;COLOMBIA;NA;CORDOBA;23;MONTERÍA;23001;Estrato 3;3 a 4;Tres;Educación profesional completa;Técnica o tecnológica completa;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;Si;No;Si;No;No;Si;Si;11 A 25 LIBROS;3 a 5 veces por semana;NA;NA;Igual;Entre 30 y 60 minutos;30 minutos o menos;0;No;86652;3,23001E+11;POLITECNICO DEL SINÚ;MIXTO;NO OFICIAL;A;N;ACADÉMICO;3,23001E+11;POLITECNICO DEL SINÚ;S;URBANO;TARDE;23001;MONTERÍA;23;CORDOBA;N;23001;MONTERÍA;CORDOBA;23;48;36;2;38;15;2;44;38;2;45;50;2;49;53;A1;221;34;583.279.673.881.516;3;3;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;24/09/2002;20194;SB11201940176912;ESTUDIANTE;No;COLOMBIA;NA;MAGDALENA;47;EL PIÑÓN;47258;Estrato 1;3 a 4;Uno;Ninguno;Primaria incompleta;Es agricultor, pesquero o jornalero;No sabe;No;Si;No;No;No;No;No;No;0 A 10 LIBROS;3 a 5 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;Menos de 10 horas;No;37960;1,47258E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL AGRICOLA EL PI¿ON;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,47258E+11;INST EDUC DPTAL AGRICOLA;S;URBANO;COMPLETA;47258;EL PIÑÓN;47;MAGDALENA;N;47551;PIVIJAY;MAGDALENA;47;42;19;2;38;17;2;40;23;1;39;34;1;41;30;A-;199;20;286.851.433.026.576;1;2;PUBLICAR;GENERACION E - GRATUIDAD
CC;COLOMBIA;F;21/09/2000;20194;SB11201940153603;ESTUDIANTE;No;COLOMBIA;NA;ANTIOQUIA;5;ITAGÜÍ;5360;Estrato 3;3 a 4;Dos;Técnica o tecnológica completa;Secundaria (Bachillerato) completa;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja en el hogar, no trabaja o estudia;Si;Si;Si;Si;No;No;No;No;11 A 25 LIBROS;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Igual;30 minutos o menos;Más de 3 horas;Más de 30 horas;Si, en efectivo;206789;1,0536E+11;INSTITUCION EDUCATIVA ISOLDA ECHAVARRIA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,0536E+11;INSTITUCION EDUCATIVA ISOLDA ECHAVARRIA.;S;URBANO;MAÑANA;5360;ITAGÜÍ;5;ANTIOQUIA;N;5360;ITAGÜÍ;ANTIOQUIA;5;43;20;2;43;27;2;41;27;2;35;21;1;52;62;A1;207;25;508.372.395.146.082;2;3;PUBLICAR;NO
TI;COLOMBIA;F;3/02/2002;20194;SB11201940068093;ESTUDIANTE;No;COLOMBIA;NA;RISARALDA;66;PEREIRA;66001;Estrato 2;9 o más;Dos;Secundaria (Bachillerato) completa;Primaria incompleta;No sabe;Trabaja en el hogar, no trabaja o estudia;Si;Si;Si;Si;No;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;65136;1,66001E+11;I.E. SURORIENTAL;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,66001E+11;COLEGIO SURORIENTAL;S;URBANO;TARDE;66001;PEREIRA;66;RISARALDA;N;66001;PEREIRA;RISARALDA;66;63;83;3;64;87;3;63;91;3;70;97;3;53;66;A1;320;92;497.436.161.539.837;2;3;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;M;26/01/2003;20194;SB11201940473024;ESTUDIANTE;No;COLOMBIA;NA;ATLANTICO;8;LURUACO;8421;Estrato 4;3 a 4;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;No sabe;Trabaja en el hogar, no trabaja o estudia;No;Si;Si;Si;Si;No;No;Si;MÁS DE 100 LIBROS;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;122960;2,08421E+11;INSTITUCION EDUCATIVA ARROYO DE PIEDRA EL BUEN PASTOR;MIXTO;OFICIAL;A;NA;ACADÉMICO;2,08421E+11;INSTITUCION EDUCATIVA ARROYO DE PIEDRA EL BUEN PASTOR;S;RURAL;MAÑANA;8421;LURUACO;8;ATLANTICO;N;8638;SABANALARGA;ATLANTICO;8;44;24;2;54;61;3;51;61;2;38;28;1;51;59;A1;235;44;574.747.440.795.327;3;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;15/10/2002;20194;SB11201940417817;ESTUDIANTE;No;COLOMBIA;NA;TOLIMA;73;IBAGUÉ;73001;Estrato 2;3 a 4;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;No sabe;Trabaja en el hogar, no trabaja o estudia;No;Si;No;No;No;Si;No;No;0 A 10 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Igual;30 minutos o menos;Entre 30 y 60 minutos;0;No;537381;2,73001E+11;INSTITUCION EDUC NUEVA ESPERANZA LA PALMA;MIXTO;OFICIAL;A;NA;TÉCNICO;2,73001E+11;SEDE 1 LA PALMA;S;RURAL;UNICA;73001;IBAGUÉ;73;TOLIMA;N;73001;IBAGUÉ;TOLIMA;73;50;42;2;54;59;3;45;40;2;46;53;2;46;45;A-;243;49;446.133.893.197.388;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;18/07/2001;20194;SB11201940076110;ESTUDIANTE;Si;COLOMBIA;Comunidad afrodescendiente;RISARALDA;66;PEREIRA;66001;Estrato 1;3 a 4;Cuatro;Ninguno;Secundaria (Bachillerato) incompleta;Es vendedor o trabaja en atención al público;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;No;Si;No;No;Si;No;No;No;0 A 10 LIBROS;3 a 5 veces por semana;Todos o casi todos los días;1 o 2 veces por semana;Mejor;No leo por entretenimiento;Más de 3 horas;0;No;151035;1,66001E+11;JAIME SALAZAR ROBLEDO;MIXTO;OFICIAL;A;S;ACADÉMICO;1,66001E+11;JAIME SALAZAR ROBLEDO - SEDE PRINCIPAL;S;URBANO;COMPLETA;66001;PEREIRA;66;RISARALDA;N;66001;PEREIRA;RISARALDA;66;45;25;2;39;18;2;38;19;1;32;12;1;43;38;A-;194;17;422.998.600.696.825;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;29/10/2002;20194;SB11201940105824;ESTUDIANTE;No;COLOMBIA;NA;LA GUAJIRA;44;MAICAO;44430;Estrato 5;5 a 6;Tres;Primaria completa;Educación profesional incompleta;Trabaja por cuenta propia (por ejemplo plomero, electricista);Trabaja en el hogar, no trabaja o estudia;No;No;No;No;No;Si;Si;No;MÁS DE 100 LIBROS;NA;1 o 2 veces por semana;1 o 2 veces por semana;Mejor;Entre 30 y 60 minutos;NA;0;No;150607;1,4443E+11;INSTITUCION EDUCATIVA NO. 10;MIXTO;OFICIAL;A;N;ACADÉMICO;1,4443E+11;COL RODOLFO MORALES - SEDE PRINCIPAL;S;URBANO;MAÑANA;44430;MAICAO;44;LA GUAJIRA;N;44430;MAICAO;LA GUAJIRA;44;41;17;2;28;3;1;32;6;1;31;11;1;43;37;A-;169;6;444.073.683.213.632;2;2;PUBLICAR;GENERACION E - GRATUIDAD
TI;COLOMBIA;F;26/11/2002;20194;SB11201940247699;ESTUDIANTE;No;COLOMBIA;NA;NARIÑO;52;BARBACOAS;52079;Estrato 1;3 a 4;Cuatro;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Si;No;Si;Si;No;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Igual;30 minutos o menos;Entre 1 y 3 horas;Menos de 10 horas;Si, en especie;11528;1,52079E+11;INSTITUCION EDUCATIVA NORMAL SUPERIOR LA INMACULADA;MIXTO;OFICIAL;A;S;TÉCNICO/ACADÉMICO;1,52079E+11;INSTITUCION EDUCATIVA NORMAL SUPERIOR LA INMACULADA;S;URBANO;MAÑANA;52079;BARBACOAS;52;NARIÑO;N;52079;BARBACOAS;NARIÑO;52;64;87;3;47;37;2;54;69;2;56;77;3;53;66;A1;275;71;509.932.063.971.544;2;2;PUBLICAR;GENERACION E - GRATUIDAD
